molecule_id,class,pic50,MW,LogP,HDonors,HAcceptors
CHEMBL2203641,active,7.207608310501746,414.42400000000004,3.8831000000000016,2,4
CHEMBL221717,active,8.221848749616356,507.4060000000002,2.7750000000000004,2,6
CHEMBL221857,active,6.187086643357144,358.4420000000001,0.5989000000000004,3,5
CHEMBL222303,inactive,5.0,399.4900000000002,0.8950999999999998,2,6
CHEMBL222309,active,6.906578314837764,359.403,2.1090999999999998,2,5
CHEMBL222714,active,6.785156151952302,472.56300000000033,2.4112,2,7
CHEMBL222854,active,6.414539270491499,521.4330000000003,3.1651000000000016,2,6
CHEMBL222934,active,8.0,525.4650000000003,3.941900000000003,2,6
CHEMBL226438,active,6.060480747381382,366.3950000000001,1.3230999999999993,2,6
CHEMBL227484,active,8.387216143280265,383.40600000000006,3.100120000000002,3,3
CHEMBL227501,active,7.1938200260161125,383.40600000000006,3.100120000000002,3,3
CHEMBL227565,inactive,4.481486060122113,472.6480000000001,4.824000000000003,2,6
CHEMBL227598,active,7.619788758288394,427.4590000000001,3.5789000000000035,3,4
CHEMBL227824,active,9.2518119729938,413.4320000000001,3.190400000000002,3,4
CHEMBL228141,active,6.167491087293763,427.4590000000001,2.9185000000000025,3,4
CHEMBL228187,active,6.769551078621726,387.369,2.9308000000000023,3,3
CHEMBL228188,active,6.795880017344075,403.824,3.4451000000000027,3,3
CHEMBL228230,inactive,4.088842391260023,252.31400000000002,1.7719999999999998,3,4
CHEMBL229844,active,8.208309350979881,239.27400000000003,3.044100000000001,2,2
CHEMBL2311189,active,6.698970004336019,405.4604336000001,2.335,3,5
CHEMBL2311765,active,7.1487416512809245,941.055,4.8933000000000035,4,12
CHEMBL2311766,active,6.882728704344236,955.0819999999999,5.283400000000004,4,12
CHEMBL2311767,active,6.920818753952375,983.1359999999999,6.0636000000000045,4,12
CHEMBL2311768,active,7.091514981121351,1011.1899999999998,6.843800000000007,4,12
CHEMBL2311769,active,6.653647025549361,1039.2439999999997,7.6240000000000085,4,12
CHEMBL2311770,active,6.84163750790475,1123.4059999999997,9.964600000000003,4,12
CHEMBL2311771,active,7.301029995663981,918.964,4.090000000000002,4,12
CHEMBL2311772,active,7.886056647693163,464.5220000000002,2.3746,2,6
CHEMBL2311773,active,6.216096420727265,604.792,6.275600000000006,2,6
CHEMBL2311774,active,7.070581074285707,870.9200000000002,2.942800000000001,4,12
CHEMBL2311775,active,6.72584215073632,884.9470000000001,3.3329000000000013,4,12
CHEMBL2311776,active,6.939302159646388,898.9740000000002,3.7230000000000016,4,12
CHEMBL2311777,active,6.917214629683549,913.0010000000001,4.113100000000002,4,12
CHEMBL2311778,active,7.096910013008056,927.028,4.503200000000003,4,12
CHEMBL2326363,active,6.97061622231479,414.4540000000001,4.161800000000004,1,4
CHEMBL2336335,active,7.899974269892137,257.72,3.991900000000003,1,1
CHEMBL2336336,active,8.08512818245995,273.719,3.6975000000000016,2,2
CHEMBL2336337,active,8.106793246940152,253.30100000000002,2.721800000000001,2,2
CHEMBL2336338,active,8.235077015350111,255.27300000000002,2.7497000000000003,3,3
CHEMBL2336340,active,8.371611069949688,255.27300000000002,2.7497,3,3
CHEMBL2336341,active,8.228412519118745,269.3,3.0527000000000006,2,3
CHEMBL2336343,active,8.364516253185087,269.3,3.0527000000000006,2,3
CHEMBL2336344,active,8.224025668870631,253.30100000000002,3.352520000000001,2,2
CHEMBL2336346,active,8.355561410532161,253.30100000000004,3.352520000000001,2,2
CHEMBL2336347,active,8.049148541111453,257.264,3.183200000000001,2,2
CHEMBL2336349,active,8.075204004202089,257.264,3.183200000000001,2,2
CHEMBL2336350,active,8.029653123769906,273.71900000000005,3.6975000000000016,2,2
CHEMBL2336351,active,8.036684488613888,273.719,3.6975000000000016,2,2
CHEMBL2336352,active,8.089909454405932,237.30200000000002,3.0162000000000013,1,1
CHEMBL2336353,active,8.143875555757699,239.27400000000003,3.0441000000000016,2,2
CHEMBL2336355,active,8.137272471682026,253.30100000000002,3.347100000000001,1,2
CHEMBL2336357,active,8.20690839982342,253.30100000000004,3.347100000000001,1,2
CHEMBL2336358,active,8.131943638176958,237.30200000000002,3.6469200000000015,1,1
CHEMBL2336359,active,8.195179321278838,237.30200000000005,3.6469200000000015,1,1
CHEMBL2336361,active,7.988852639224202,241.26500000000001,3.4776000000000016,1,1
CHEMBL2336362,active,8.123782159408357,239.27400000000003,3.0441000000000003,2,2
CHEMBL2336363,active,8.120904120499928,253.30100000000002,2.721800000000001,2,2
CHEMBL2336364,active,8.11747546204512,267.328,2.7643000000000013,2,2
CHEMBL2336365,active,8.243363891754152,255.27300000000002,2.7497000000000003,3,3
CHEMBL2336779,active,8.47237009912866,255.27300000000002,2.7497,3,3
CHEMBL2336780,active,8.235077015350111,269.3,3.0527000000000006,2,3
CHEMBL2336782,active,8.465973893943865,269.3,3.0527000000000006,2,3
CHEMBL2336783,active,8.228412519118745,253.30100000000002,3.352520000000002,2,2
