seed,representation,model,candidate,validation_f1,n_train,n_test,n_features,accuracy,f1,sensitivity,specificity,precision,tn,fp,fn,tp
81,PaDEL,LogisticRegression,0,0.9611307420494699,730,183,1182,0.9016393442622951,0.9370629370629371,0.9305555555555556,0.7948717948717948,0.9436619718309859,31,8,10,134
82,PaDEL,LogisticRegression,1,0.958041958041958,730,183,1182,0.907103825136612,0.9411764705882353,0.9444444444444444,0.7692307692307693,0.9379310344827586,30,9,8,136
83,PaDEL,LogisticRegression,1,0.9403508771929825,730,183,1182,0.9398907103825137,0.962457337883959,0.9791666666666666,0.7948717948717948,0.9463087248322147,31,8,3,141
84,PaDEL,LogisticRegression,1,0.9337979094076655,730,183,1180,0.9234972677595629,0.951048951048951,0.9444444444444444,0.8461538461538461,0.9577464788732394,33,6,8,136
85,PaDEL,LogisticRegression,1,0.9436619718309859,730,183,1182,0.9016393442622951,0.9357142857142857,0.9097222222222222,0.8717948717948718,0.9632352941176471,34,5,13,131
86,PaDEL,LogisticRegression,1,0.9484536082474226,730,183,1182,0.9180327868852459,0.9491525423728814,0.9722222222222222,0.717948717948718,0.9271523178807947,28,11,4,140
87,PaDEL,LogisticRegression,1,0.9477351916376306,730,183,1182,0.9180327868852459,0.9469964664310954,0.9305555555555556,0.8717948717948718,0.9640287769784173,34,5,10,134
88,PaDEL,LogisticRegression,1,0.9480968858131488,730,183,1182,0.9234972677595629,0.950354609929078,0.9305555555555556,0.8974358974358975,0.9710144927536232,35,4,10,134
89,PaDEL,LogisticRegression,1,0.9480968858131488,730,183,1180,0.912568306010929,0.9444444444444444,0.9444444444444444,0.7948717948717948,0.9444444444444444,31,8,8,136
90,PaDEL,LogisticRegression,1,0.9415807560137457,730,183,1179,0.9234972677595629,0.9517241379310345,0.9583333333333334,0.7948717948717948,0.9452054794520548,31,8,6,138
91,PaDEL,LogisticRegression,1,0.9477351916376306,730,183,1182,0.9234972677595629,0.952054794520548,0.9652777777777778,0.7692307692307693,0.9391891891891891,30,9,5,139
92,PaDEL,LogisticRegression,1,0.9436619718309859,730,183,1182,0.9453551912568307,0.9655172413793104,0.9722222222222222,0.8461538461538461,0.958904109589041,33,6,4,140
93,PaDEL,LogisticRegression,0,0.9469964664310954,730,183,1182,0.912568306010929,0.9436619718309859,0.9305555555555556,0.8461538461538461,0.9571428571428572,33,6,10,134
94,PaDEL,LogisticRegression,1,0.9574468085106383,730,183,1180,0.9562841530054644,0.972027972027972,0.9652777777777778,0.9230769230769231,0.9788732394366197,36,3,5,139
95,PaDEL,LogisticRegression,1,0.9386281588447654,730,183,1182,0.9234972677595629,0.9507042253521126,0.9375,0.8717948717948718,0.9642857142857143,34,5,9,135
96,PaDEL,LogisticRegression,1,0.951048951048951,730,183,1179,0.9180327868852459,0.9484536082474226,0.9583333333333334,0.7692307692307693,0.9387755102040817,30,9,6,138
97,PaDEL,LogisticRegression,0,0.9473684210526315,730,183,1182,0.9398907103825137,0.9616724738675958,0.9583333333333334,0.8717948717948718,0.965034965034965,34,5,6,138
98,PaDEL,LogisticRegression,1,0.9440559440559441,730,183,1182,0.9344262295081968,0.9586206896551724,0.9652777777777778,0.8205128205128205,0.952054794520548,32,7,5,139
99,PaDEL,LogisticRegression,0,0.9480968858131488,730,183,1182,0.9562841530054644,0.9724137931034482,0.9791666666666666,0.8717948717948718,0.9657534246575342,34,5,3,141
0,PaDEL,RandomForest,1,0.9480968858131488,730,183,1180,0.9398907103825137,0.9629629629629629,0.9930555555555556,0.7435897435897436,0.934640522875817,29,10,1,143
1,PaDEL,RandomForest,1,0.9379310344827586,730,183,1179,0.9180327868852459,0.9488054607508533,0.9652777777777778,0.7435897435897436,0.9328859060402684,29,10,5,139
2,PaDEL,RandomForest,0,0.9347079037800687,730,183,1182,0.9672131147540983,0.9793103448275862,0.9861111111111112,0.8974358974358975,0.9726027397260274,35,4,2,142
3,PaDEL,RandomForest,0,0.9629629629629629,730,183,1182,0.9180327868852459,0.9484536082474226,0.9583333333333334,0.7692307692307693,0.9387755102040817,30,9,6,138
4,PaDEL,RandomForest,0,0.9556313993174061,730,183,1182,0.9562841530054644,0.9724137931034482,0.9791666666666666,0.8717948717948718,0.9657534246575342,34,5,3,141
5,PaDEL,RandomForest,0,0.9794520547945206,730,183,1182,0.9180327868852459,0.9484536082474226,0.9583333333333334,0.7692307692307693,0.9387755102040817,30,9,6,138
6,PaDEL,RandomForest,0,0.9553264604810997,730,183,1182,0.9234972677595629,0.951048951048951,0.9444444444444444,0.8461538461538461,0.9577464788732394,33,6,8,136
